Day,Gas Price,Oil Price
02/21/2018,2.65,64.81
02/20/2018,2.61,64.68
02/16/2018,2.49,64.95
02/15/2018,2.49,64.3
02/14/2018,2.53,62.86
02/13/2018,2.58,62.29
2/12/2018,2.6,61.94
2/9/2018,2.66,62.2
2/8/2018,2.74,63.04
2/7/2018,2.74,64.26
2/6/2018,2.75,65.74
2/5/2018,2.85,66.75
2/2/2018,2.91,67.69
2/1/2018,3.06,67.45
01/31/2018,3.34,68.6
01/30/2018,3.6,67.78
01/29/2018,3.6,68.41
01/26/2018,3.58,70.08
01/25/2018,3.54,71.08
01/24/2018,3.54,69.91
01/23/2018,3.35,69.81
01/22/2018,3.13,69.32
01/19/2018,3.2,68.56
01/18/2018,3.92,69.48
01/17/2018,3.92,69.19
01/16/2018,5.46,69.4
1/12/2018,4.06,69.64
1/11/2018,3.16,70.36
1/10/2018,3.16,69.79
1/9/2018,2.93,69.08
1/8/2018,2.89,68.48
1/5/2018,2.89,68.01
1/4/2018,4.65,68.73
1/3/2018,6.24,67.85
1/2/2018,6.24,66.65
12/29/2017,3.69,66.73
12/28/2017,2.97,66.8
12/27/2017,2.76,66.03
12/22/2017,2.63,64.61
12/21/2017,2.64,64.64
12/20/2017,2.72,64.43
12/19/2017,2.75,63.69
12/18/2017,2.71,64.45
12/15/2017,2.6,63.81
12/14/2017,2.69,63.72
12/13/2017,2.87,63.66
12/12/2017,2.87,64.96
12/11/2017,2.81,65.62
12/8/2017,2.78,63.86
12/7/2017,2.81,62.37
12/6/2017,2.86,62.25
12/5/2017,2.86,63.45
12/4/2017,2.91,63.45
12/1/2017,2.84,64.57
11/30/2017,3.06,63.53
11/29/2017,3.06,63.74
11/28/2017,2.88,63.56
11/27/2017,2.88,63.25
11/24/2017,3.05,63.58
11/23/2017,3.05,63.27
11/22/2017,3.05,62.92
11/21/2017,3.05,62.28
11/20/2017,3.04,61.34
11/17/2017,3.04,61.34
11/16/2017,3.09,61.18
11/15/2017,3.16,61.25
11/14/2017,3.06,60.91
11/13/2017,3.13,62.94
11/10/2017,3.17,64.35
11/9/2017,3.18,64.49
11/8/2017,3.16,63.96
11/7/2017,3.07,64.36
11/6/2017,3.01,64.27
11/3/2017,2.75,61.42
11/2/2017,2.68,60.79
11/1/2017,2.68,60.98
10/31/2017,2.84,61.35
10/30/2017,2.94,60.65
10/27/2017,2.78,60.15
10/26/2017,2.91,58.75
10/25/2017,2.98,58.45
10/24/2017,2.95,57.84
10/23/2017,2.95,57.69
10/20/2017,2.8,57.89
10/19/2017,2.83,57.82
10/18/2017,2.81,58.05
10/17/2017,2.88,57.63
10/16/2017,2.87,57.49
10/13/2017,2.99,56.86
10/12/2017,2.95,56.13
10/11/2017,2.89,56.13
10/10/2017,2.89,56.62
10/9/2017,2.87,55.29
10/6/2017,2.93,55.5
10/5/2017,2.8,57.09
10/4/2017,2.8,56
10/3/2017,2.73,56.12
10/2/2017,2.94,55.67
09/29/2017,2.94,57.02
09/28/2017,2.96,58.8
09/27/2017,2.98,58.74
09/26/2017,2.96,59.77
09/25/2017,2.96,59.42
09/22/2017,2.93,58.16
09/21/2017,3.11,57.73
09/20/2017,3.13,57.2
09/19/2017,3.18,56.58
09/18/2017,3.11,55.5
09/15/2017,3,56.18
09/14/2017,3.03,56.76
09/13/2017,3.02,55.52
9/12/2017,2.88,55.06
9/11/2017,2.88,54.2
9/8/2017,2.88,54.55
9/7/2017,2.92,54.16
9/6/2017,2.98,54.48
9/5/2017,2.88,53.63
9/4/2017,2.88,52.6
9/1/2017,2.88,53.15
08/31/2017,2.92,52.69
08/30/2017,2.95,51.91
08/29/2017,2.95,51.64
08/28/2017,2.95,51.87
08/25/2017,2.93,51.87
08/24/2017,2.97,51.73
08/23/2017,2.94,52.31
08/22/2017,3,52.29
08/21/2017,3,51.94
08/18/2017,2.9,50.96
08/17/2017,2.91,50.37
08/16/2017,2.94,50.39
08/15/2017,2.96,49.9
08/14/2017,3.02,51.29
8/11/2017,2.96,51.47
8/10/2017,2.89,52.59
8/9/2017,2.81,52.16
8/8/2017,2.81,52.18
8/7/2017,2.8,51.42
8/4/2017,2.76,52.48
8/3/2017,2.76,52.88
8/2/2017,2.8,52.09
8/1/2017,2.8,50.77
07/31/2017,2.87,51.99
07/28/2017,2.96,52
07/27/2017,2.95,50.67
07/26/2017,2.92,50.08
07/25/2017,2.99,49.19
07/24/2017,2.99,47.81
07/21/2017,3.06,47.47
07/20/2017,3.12,48.54
07/19/2017,3.11,48.34
07/18/2017,3.11,47.92
07/17/2017,3.04,47.66
07/14/2017,2.94,47.89
07/13/2017,2.96,47.65
7/12/2017,3.01,46.73
7/11/2017,2.98,46.68
7/10/2017,2.92,46.57
7/7/2017,2.91,46.47
7/6/2017,2.89,48.53
7/5/2017,2.98,47.58
7/4/2017,2.98,49.15
7/3/2017,2.98,49.13
06/30/2017,2.98,47.08
06/29/2017,3.07,47.02
06/28/2017,3.03,46.45
06/27/2017,2.99,46.17
06/26/2017,2.98,44.09
06/23/2017,2.89,44.14
06/22/2017,2.88,44.46
06/21/2017,2.91,44.62
06/20/2017,2.91,43.98
06/19/2017,2.87,45.93
06/16/2017,3.01,45.7
06/15/2017,2.94,45.61
06/14/2017,2.95,45.47
06/13/2017,3.12,46.95
6/12/2017,3.12,47.18
6/9/2017,3.03,46.64
6/8/2017,2.98,46.3
6/7/2017,3.06,47.08
6/6/2017,2.92,48.11
6/5/2017,2.92,48.25
6/2/2017,2.85,48.46
6/1/2017,3.05,50.41
05/31/2017,3.05,49.4
05/30/2017,3.1,50.65
05/29/2017,3.1,52.25
05/26/2017,3.1,50.84
05/25/2017,3.1,52.25
05/24/2017,3.22,53.29
05/23/2017,3.22,53.19
05/22/2017,3.24,53.35
05/19/2017,3.11,52.78
05/18/2017,3.13,51.71
05/17/2017,3.27,51.76
05/16/2017,3.27,51.21
05/15/2017,3.26,51.29
5/12/2017,3.24,49.08
5/11/2017,3.23,49.18
5/10/2017,3.03,48.09
5/9/2017,3.03,47.06
5/8/2017,3.06,46.61
5/5/2017,3.1,47.45
5/4/2017,3.11,47.53
5/3/2017,3.14,48.82
5/2/2017,3.13,49.31
5/1/2017,3.2,50.41
04/28/2017,3.2,49.46
04/27/2017,3.13,49.46
04/26/2017,3.06,49.99
04/25/2017,2.99,49.37
04/24/2017,3.06,49.45
04/21/2017,3.06,49.93
04/20/2017,3.13,50.66
04/19/2017,3.11,52.43
04/18/2017,3.11,52.6
04/17/2017,3.09,54.79
04/13/2017,3,55.05
4/12/2017,2.97,54.75
4/11/2017,3.11,54.73
4/10/2017,3.15,54.79
4/7/2017,3.23,54.24
4/6/2017,3.23,53.62
4/5/2017,3.22,53.41
4/4/2017,3.06,53.08
4/3/2017,3.13,52.04
03/31/2017,3.13,52.2
03/30/2017,3.08,52.25
03/29/2017,3.03,51.36
03/28/2017,2.95,50.72
03/27/2017,2.94,50.12
03/24/2017,2.97,49.97
03/23/2017,2.93,50.17
03/22/2017,3.02,49.56
03/21/2017,3.09,50.14
03/20/2017,2.93,50.67
03/17/2017,2.85,50.58
03/16/2017,2.84,50.56
03/15/2017,3.02,50.63
03/14/2017,3.02,49.6
03/13/2017,3.04,50.1
3/10/2017,2.98,50.63
3/9/2017,2.83,50.65
3/8/2017,2.59,53.3
3/7/2017,2.68,54.61
3/6/2017,2.68,54.73
3/3/2017,2.5,54.12
3/2/2017,2.59,54.16
3/1/2017,2.54,55.72
02/28/2017,2.54,53.36
02/27/2017,2.44,54.65
02/24/2017,2.63,54.69
02/23/2017,2.63,55.82
02/22/2017,2.52,54.9
02/21/2017,2.56,56.34
02/20/2017,2.75,55.25
02/17/2017,2.75,54.48
02/16/2017,2.88,54.16
02/15/2017,2.95,54.57
02/14/2017,2.85,54.96
02/13/2017,2.93,54.15
2/10/2017,3.11,55.2
2/9/2017,3.11,53.98
2/8/2017,3.05,54.42
2/7/2017,3.03,53.79
2/6/2017,2.92,55.02
2/3/2017,3.13,55.92
2/2/2017,3.13,55.94
2/1/2017,3.15,55.79
01/31/2017,3,55.25
01/30/2017,3.22,54.77
01/27/2017,3.31,54.8
01/26/2017,3.44,55.89
01/25/2017,3.26,54.34
01/24/2017,3.16,54.7
01/23/2017,3.16,54.8
01/20/2017,3.23,55.04
01/19/2017,3.25,53.18
01/18/2017,3.26,53.77
01/17/2017,3.37,54.68
01/16/2017,3.36,54.3
01/13/2017,3.36,54.37
1/12/2017,3.36,54.51
1/11/2017,3.27,53.61
1/10/2017,3.21,53.2
1/9/2017,3.14,54.39
1/6/2017,3.38,55.9
1/5/2017,3.42,54.99
1/4/2017,3.42,54.57
1/3/2017,3.41,55.05
12/30/2016,3.71,54.96
12/29/2016,3.71,54.97
12/28/2016,3.7,54.95
12/23/2016,3.6,53.93
12/22/2016,3.5,54.04
12/21/2016,3.5,53.01
12/20/2016,3.39,54.56
12/19/2016,3.55,53.53
12/16/2016,3.51,54.15
12/15/2016,3.56,51.72
12/14/2016,3.55,53.15
12/13/2016,3.65,53.28
12/12/2016,3.6,53.99
12/9/2016,3.75,52.19
12/8/2016,3.68,51.6
12/7/2016,3.8,51.9
12/6/2016,3.75,52.31
12/5/2016,3.44,53.3
12/2/2016,3.44,52.35
12/1/2016,3.32,52.28
11/30/2016,3.32,47.95
11/29/2016,3.02,44.68
11/28/2016,2.96,46.64
11/25/2016,2.76,46.32
11/24/2016,2.76,47.54
11/23/2016,2.76,46.54
11/22/2016,2.73,46.1
11/21/2016,2.81,45.96
11/18/2016,2.6,44.41
11/17/2016,2.37,44.57
11/16/2016,2.49,45.07
11/15/2016,2.49,44.15
11/14/2016,2.26,41.83
11/11/2016,2.08,41.61
11/10/2016,2.08,43.67
11/9/2016,2.22,43.88
11/8/2016,2.34,43.47
11/7/2016,2.37,42.83
11/4/2016,2.2,43.06
11/3/2016,2.41,43.84
11/2/2016,2.53,44.26
11/1/2016,2.53,45.77
10/31/2016,2.85,46.2
10/28/2016,2.72,47.78
10/27/2016,2.72,49.13
10/26/2016,2.69,48.98
10/25/2016,2.69,49.08
10/24/2016,2.78,49.8
10/21/2016,2.92,50.28
10/20/2016,3.12,50.42
10/19/2016,3.18,51.85
10/18/2016,3.25,49.81
10/17/2016,3.21,49.31
10/14/2016,3.18,48.87
10/13/2016,3.16,49.29
10/12/2016,3.17,49.53
10/11/2016,3.17,50.48
10/10/2016,3.18,51.54
10/7/2016,3.02,50.49
10/6/2016,3.04,50.14
10/5/2016,2.83,49.57
10/4/2016,2.83,48.81
10/3/2016,2.84,48.61
09/30/2016,2.84,48.24
09/29/2016,2.98,48.43
09/28/2016,3.07,45.49
09/27/2016,3.09,44.95
09/26/2016,3.06,46.61
09/23/2016,3.06,46.71
09/22/2016,3.18,47.21
09/21/2016,3.19,45.99
09/20/2016,3.12,45.24
09/19/2016,3,46.04
09/16/2016,2.97,45.26
09/15/2016,2.98,45.83
09/14/2016,3.07,45.65
09/13/2016,3.04,46.48
9/12/2016,3.04,47.82
9/9/2016,2.93,48.37
9/8/2016,2.88,49.23
9/7/2016,2.77,47
9/6/2016,2.88,46.21
9/5/2016,2.88,46.72
9/2/2016,2.88,45.96
9/1/2016,2.95,45.05
08/31/2016,2.95,47.94
08/30/2016,2.95,47.94
08/29/2016,2.97,49.66
08/26/2016,2.91,49.66
08/25/2016,2.89,49.25
08/24/2016,2.82,47.56
08/23/2016,2.75,48.7
08/22/2016,2.75,48.1
08/19/2016,2.67,49.39
08/18/2016,2.75,49.46
08/17/2016,2.76,48.58
08/16/2016,2.75,48.27
08/15/2016,2.75,47.31
8/12/2016,2.7,45.12
8/11/2016,2.7,44.23
8/10/2016,2.76,42.19
8/9/2016,2.85,43.37
8/8/2016,2.85,43.24
8/5/2016,2.88,42.47
8/4/2016,2.89,41.33
8/3/2016,2.89,40.45
8/2/2016,2.79,40
8/1/2016,2.97,40.17
07/29/2016,2.97,40.76
07/28/2016,2.79,41.87
07/27/2016,2.84,42.78
07/26/2016,2.84,43.56
07/25/2016,2.8,43.76
07/22/2016,2.8,44.24
07/21/2016,2.76,44.99
07/20/2016,2.76,45.82
07/19/2016,2.83,45.7
07/18/2016,2.83,45.35
07/15/2016,2.7,46.25
07/14/2016,2.79,46.01
07/13/2016,2.81,44.67
7/12/2016,2.88,46.72
7/11/2016,2.88,44.04
7/8/2016,2.8,44.53
7/7/2016,2.78,45.93
7/6/2016,2.82,45.7
7/5/2016,2.82,45.64
7/4/2016,2.89,48.02
7/1/2016,2.89,47.65
06/30/2016,2.94,48.05
06/29/2016,2.94,48.4
06/28/2016,2.89,46.29
06/27/2016,2.79,45.07
06/24/2016,2.71,46.69
06/23/2016,2.69,48.63
06/22/2016,2.82,48.43
06/21/2016,2.79,48.18
06/20/2016,2.74,48.68
06/17/2016,2.59,46.57
06/16/2016,2.62,45.66
06/15/2016,2.62,47.47
06/14/2016,2.55,47.88
06/13/2016,2.55,49.36
6/10/2016,2.46,49.7
6/9/2016,2.34,50.59
6/8/2016,2.36,50.73
6/7/2016,2.32,49.76
6/6/2016,2.32,48.94
6/3/2016,2.31,48.5
6/2/2016,2.3,49.05
6/1/2016,2.25,48.81
05/31/2016,2.12,49.26
05/27/2016,1.77,49.09
05/26/2016,1.77,49.52
05/25/2016,1.77,48.87
05/24/2016,1.91,48.42
05/23/2016,1.96,47.77
05/20/2016,1.81,48.54
05/19/2016,1.83,47.01
05/18/2016,1.91,48.93
05/17/2016,1.97,48.71
05/16/2016,1.91,48.49
05/13/2016,1.96,47.05
5/12/2016,2.01,46.43
5/11/2016,2.01,46.08
5/10/2016,2.01,44.01
5/9/2016,2.01,42.43
5/6/2016,1.86,44.6
5/5/2016,2.05,44.39
5/4/2016,2.03,43.08
5/3/2016,1.94,43.09
